date,open,high,low,close,volume
5/16/1997,0.093,0.0987,0.0852,0.0863,294000000
5/19/1997,0.0852,0.0883,0.0811,0.0852,122136000
5/20/1997,0.0863,0.0873,0.0816,0.0816,109344000
5/21/1997,0.08,0.0821,0.0686,0.0712,377064000
5/22/1997,0.0717,0.0722,0.0655,0.0696,235536000
5/23/1997,0.0702,0.0759,0.0665,0.0748,318744000
5/27/1997,0.0738,0.0821,0.0727,0.079,173952000
5/28/1997,0.0803,0.0816,0.0764,0.0764,91488000
5/29/1997,0.0769,0.0769,0.0738,0.0751,69456000
5/30/1997,0.0748,0.0754,0.0738,0.0748,51888000
6/2/1997,0.0754,0.0764,0.0748,0.0754,11832000
6/3/1997,0.0764,0.0764,0.0738,0.0738,23664000
6/4/1997,0.0738,0.0743,0.0696,0.0707,61608000
6/5/1997,0.0707,0.0769,0.0686,0.0769,113448000
6/6/1997,0.0754,0.0852,0.0754,0.0826,156144000
6/9/1997,0.0842,0.0852,0.0826,0.0842,47040000
6/10/1997,0.0852,0.0852,0.0764,0.079,109176000
6/11/1997,0.0795,0.08,0.0764,0.0769,23760000
6/12/1997,0.079,0.0821,0.0774,0.08,32640000
6/13/1997,0.0811,0.0811,0.079,0.079,13872000
6/16/1997,0.079,0.08,0.0779,0.0785,18264000
6/17/1997,0.0787,0.0798,0.0746,0.0751,94128000
6/18/1997,0.0759,0.0766,0.0748,0.0754,49296000
6/19/1997,0.0754,0.0764,0.0748,0.0754,20064000
6/20/1997,0.0764,0.0774,0.0748,0.0761,67752000
6/23/1997,0.0759,0.0769,0.0738,0.0748,20952000
6/24/1997,0.0751,0.0761,0.0738,0.0754,15024000
6/25/1997,0.0754,0.0761,0.0743,0.0754,42120000
6/26/1997,0.0759,0.0759,0.0751,0.0754,63792000
6/27/1997,0.0756,0.0756,0.0738,0.0743,23760000
6/30/1997,0.0754,0.0798,0.0738,0.0769,54936000
7/1/1997,0.0769,0.0769,0.0754,0.0756,25848000
7/2/1997,0.0766,0.0795,0.0754,0.0792,77640000
7/3/1997,0.0816,0.0956,0.0795,0.0954,251544000
7/7/1997,0.0914,0.1008,0.0914,0.0998,161064000
7/8/1997,0.1018,0.1164,0.1018,0.1148,310344000
7/9/1997,0.1148,0.119,0.1133,0.1159,165240000
7/10/1997,0.118,0.119,0.1164,0.1185,181032000
7/11/1997,0.118,0.1257,0.1102,0.1164,210624000
7/14/1997,0.1153,0.1164,0.1086,0.1102,92088000
7/15/1997,0.1091,0.1195,0.1065,0.119,185496000
7/16/1997,0.1221,0.1245,0.1148,0.1164,60480000
7/17/1997,0.1128,0.1169,0.1107,0.1117,63384000
7/18/1997,0.1091,0.1107,0.1076,0.1076,15600000
7/21/1997,0.1086,0.1097,0.107,0.1086,11496000
7/22/1997,0.1081,0.1091,0.1029,0.1065,31272000
7/23/1997,0.1091,0.1133,0.1086,0.113,65184000
7/24/1997,0.1148,0.1153,0.1107,0.1128,24336000
7/25/1997,0.1112,0.1122,0.1107,0.1112,12408000
7/28/1997,0.1112,0.1148,0.1107,0.1143,51480000
7/29/1997,0.118,0.12,0.1164,0.119,96288000
7/30/1997,0.118,0.1247,0.1164,0.1237,50352000
7/31/1997,0.1216,0.1216,0.1164,0.1195,29088000
8/1/1997,0.1169,0.1205,0.1122,0.1205,71760000
8/4/1997,0.1185,0.1203,0.1148,0.1153,53424000
8/5/1997,0.1153,0.1164,0.107,0.1102,60648000
8/6/1997,0.1102,0.1153,0.1091,0.1122,24864000
8/7/1997,0.1122,0.1128,0.106,0.1086,40680000
8/8/1997,0.1081,0.1148,0.105,0.1143,44232000
8/11/1997,0.1143,0.1164,0.1122,0.1161,24792000
8/12/1997,0.1138,0.1148,0.1097,0.1097,11424000
8/13/1997,0.1112,0.1112,0.1081,0.1097,11808000
8/14/1997,0.1086,0.1122,0.1057,0.1076,20832000
8/15/1997,0.0977,0.1076,0.0966,0.1055,31944000
8/18/1997,0.1013,0.1024,0.0982,0.1018,35688000
8/19/1997,0.1045,0.1102,0.1024,0.1081,20064000
8/20/1997,0.1039,0.1091,0.1034,0.1081,19992000
8/21/1997,0.1065,0.1083,0.1034,0.1055,12480000
8/22/1997,0.105,0.106,0.1045,0.106,14256000
8/25/1997,0.105,0.1128,0.105,0.1107,22536000
8/26/1997,0.1117,0.1174,0.1112,0.1169,51480000
8/27/1997,0.1151,0.1159,0.1122,0.1156,27840000
8/28/1997,0.1148,0.1195,0.1138,0.1185,22944000
8/29/1997,0.118,0.1185,0.1159,0.1166,14448000
9/2/1997,0.1169,0.1185,0.1164,0.1174,14640000
9/3/1997,0.1169,0.1205,0.1153,0.1164,39288000
9/4/1997,0.118,0.1273,0.1169,0.1273,66960000
9/5/1997,0.1289,0.133,0.1226,0.1247,38160000
9/8/1997,0.1263,0.1507,0.1247,0.1496,112968000
9/9/1997,0.1569,0.1689,0.1512,0.1616,179424000
9/10/1997,0.1652,0.1663,0.1559,0.1647,77328000
9/11/1997,0.1616,0.1663,0.1517,0.1575,85248000
9/12/1997,0.159,0.1845,0.1575,0.1839,66672000
9/15/1997,0.1762,0.1834,0.1523,0.1543,111672000
9/16/1997,0.1611,0.1767,0.1559,0.1673,128640000
9/17/1997,0.1725,0.1746,0.1663,0.1699,52152000
9/18/1997,0.1715,0.173,0.1637,0.1642,42576000
9/19/1997,0.173,0.2037,0.1683,0.1969,178584000
9/22/1997,0.2021,0.2333,0.1969,0.2245,338760000
9/23/1997,0.224,0.2317,0.2193,0.2307,153648000
9/24/1997,0.2317,0.24,0.2141,0.2182,164016000
9/25/1997,0.2058,0.2172,0.2021,0.2037,99360000
9/26/1997,0.2115,0.2125,0.2021,0.2078,54624000
9/29/1997,0.2068,0.2089,0.1974,0.2016,47424000
9/30/1997,0.1995,0.2172,0.1897,0.2167,105096000
10/1/1997,0.2136,0.2245,0.1964,0.2006,99984000
10/2/1997,0.2016,0.2084,0.199,0.2001,37536000
10/3/1997,0.2037,0.2058,0.1985,0.2006,23280000
10/6/1997,0.1995,0.2058,0.1969,0.2058,40560000
10/7/1997,0.2037,0.2089,0.2016,0.2026,34848000
10/8/1997,0.2068,0.2078,0.199,0.2001,56136000
10/9/1997,0.1995,0.2006,0.1866,0.187,79008000
10/10/1997,0.187,0.2026,0.1829,0.1949,75744000
10/13/1997,0.1995,0.2016,0.1959,0.1995,16296000
10/14/1997,0.2026,0.2047,0.1912,0.1985,30936000
10/15/1997,0.1954,0.198,0.1881,0.1959,47112000
10/16/1997,0.1949,0.1985,0.1798,0.1808,69624000
10/17/1997,0.1803,0.1824,0.1756,0.1808,50688000
10/20/1997,0.1912,0.1933,0.1829,0.1907,98256000
10/21/1997,0.1974,0.2213,0.1922,0.2208,241920000
10/22/1997,0.2203,0.2307,0.2182,0.2255,104160000
10/23/1997,0.2172,0.2276,0.2089,0.2245,113136000
10/24/1997,0.2369,0.2525,0.2265,0.251,189840000
10/27/1997,0.2395,0.2499,0.211,0.213,121824000
10/28/1997,0.1954,0.2494,0.1933,0.2468,234384000
10/29/1997,0.2567,0.2743,0.2494,0.2691,142536000
10/30/1997,0.2598,0.2671,0.2515,0.2556,95400000
10/31/1997,0.2671,0.2723,0.2479,0.2536,100536000
11/3/1997,0.2551,0.2603,0.2468,0.2531,39984000
11/4/1997,0.2452,0.252,0.2406,0.2473,47304000
11/5/1997,0.2484,0.2556,0.2432,0.2432,61872000
11/6/1997,0.2452,0.2452,0.2312,0.2325,58272000
11/7/1997,0.2203,0.2315,0.2188,0.2234,52536000
11/10/1997,0.2245,0.2276,0.2099,0.2099,55296000
11/11/1997,0.2117,0.2151,0.1954,0.1969,86256000
11/12/1997,0.1883,0.2089,0.1829,0.1881,173664000
11/13/1997,0.1969,0.198,0.1881,0.1925,85800000
11/14/1997,0.1964,0.2099,0.1886,0.2078,117384000
11/17/1997,0.211,0.2265,0.2105,0.2182,147888000
11/18/1997,0.2182,0.2234,0.2167,0.2203,37320000
11/19/1997,0.2198,0.2255,0.2151,0.225,50688000
11/20/1997,0.2281,0.2297,0.225,0.2286,118464000
11/21/1997,0.2271,0.2286,0.224,0.224,52056000
11/24/1997,0.2182,0.2198,0.211,0.211,40392000
11/25/1997,0.2115,0.2161,0.2016,0.2097,66096000
11/26/1997,0.2115,0.2201,0.2115,0.2125,32616000
11/28/1997,0.213,0.2161,0.2053,0.2058,32064000
12/1/1997,0.2115,0.2182,0.2063,0.213,47664000
12/2/1997,0.2125,0.2146,0.2084,0.2112,25248000
12/3/1997,0.2094,0.2182,0.2089,0.2177,25800000
12/4/1997,0.2195,0.2271,0.2188,0.2245,60768000
12/5/1997,0.2213,0.2292,0.2172,0.2292,53232000
12/8/1997,0.2265,0.238,0.2255,0.2349,95328000
12/9/1997,0.2328,0.238,0.2297,0.2338,26640000
12/10/1997,0.2286,0.2307,0.2193,0.225,28896000
12/11/1997,0.2193,0.2411,0.2193,0.2338,100296000
12/12/1997,0.2317,0.2395,0.2198,0.2265,53448000
12/15/1997,0.2286,0.2328,0.2198,0.2286,33888000
12/16/1997,0.2317,0.2317,0.2224,0.2224,33744000
12/17/1997,0.2182,0.2224,0.2122,0.219,122808000
12/18/1997,0.2172,0.2208,0.211,0.2141,64080000
12/19/1997,0.211,0.2255,0.2078,0.2245,95064000
12/22/1997,0.2245,0.2385,0.2211,0.2344,87048000
12/23/1997,0.2338,0.2364,0.2307,0.2307,23544000
12/24/1997,0.2307,0.2349,0.2229,0.2297,46728000
12/26/1997,0.2276,0.2317,0.224,0.2255,9744000
12/29/1997,0.2286,0.2385,0.226,0.2369,51048000
12/30/1997,0.2411,0.2447,0.2385,0.2419,125712000
12/31/1997,0.2432,0.251,0.2416,0.2504,88920000
1/2/1998,0.2494,0.2494,0.2393,0.2473,33216000
1/5/1998,0.2437,0.2463,0.2349,0.2369,71808000
1/6/1998,0.2344,0.2432,0.2328,0.2413,83496000
1/7/1998,0.2411,0.2411,0.2341,0.2385,54504000
1/8/1998,0.2344,0.2346,0.226,0.2302,120312000
1/9/1998,0.2328,0.2328,0.211,0.2125,132864000
1/12/1998,0.2078,0.2188,0.2068,0.2146,148032000
1/13/1998,0.2167,0.2328,0.2156,0.2317,146424000
1/14/1998,0.2323,0.2432,0.2307,0.2432,170112000
