date,open,high,low,close,volume
6/29/2010,1.2667,1.6667,1.1693,1.5927,281494500
6/30/2010,1.7193,2.0279,1.5533,1.5887,257806500
7/1/2010,1.6667,1.728,1.3513,1.464,123282000
7/2/2010,1.5333,1.54,1.2473,1.28,77097000
7/6/2010,1.3333,1.3333,1.0553,1.074,103003500
7/7/2010,1.0933,1.1087,0.9987,1.0533,103825500
7/8/2010,1.076,1.168,1.038,1.164,115671000
7/9/2010,1.172,1.1933,1.1033,1.16,60759000
7/12/2010,1.1967,1.2047,1.1333,1.1367,33037500
7/13/2010,1.1596,1.2427,1.1267,1.2093,40201500
7/14/2010,1.196,1.3433,1.184,1.3227,62928000
7/15/2010,1.3293,1.4333,1.2667,1.326,56097000
7/16/2010,1.38,1.42,1.3367,1.376,39319500
7/19/2010,1.4247,1.4833,1.3947,1.4607,37297500
7/20/2010,1.4567,1.4567,1.3367,1.3533,27379500
7/21/2010,1.3773,1.3933,1.3,1.348,18787500
7/22/2010,1.3667,1.4167,1.358,1.4,14367000
7/23/2010,1.4127,1.4373,1.404,1.4193,9804000
7/26/2010,1.4333,1.4333,1.3533,1.3967,13833000
7/27/2010,1.394,1.412,1.3507,1.37,9295500
7/28/2010,1.37,1.3933,1.3673,1.3813,7008000
7/29/2010,1.3847,1.392,1.3333,1.3567,9240000
7/30/2010,1.3467,1.3627,1.3033,1.3293,6403500
8/2/2010,1.3667,1.398,1.3555,1.3947,10771500
8/3/2010,1.4,1.4633,1.388,1.4633,18457500
8/4/2010,1.4633,1.4787,1.39,1.4173,13695000
8/5/2010,1.436,1.4367,1.3367,1.3633,11943000
8/6/2010,1.34,1.344,1.3013,1.306,11128500
8/9/2010,1.3267,1.332,1.2967,1.3067,12190500
8/10/2010,1.31,1.31,1.2547,1.2687,19219500
8/11/2010,1.246,1.2587,1.19,1.1933,11964000
8/12/2010,1.1867,1.1933,1.1593,1.1733,10365000
8/13/2010,1.212,1.23,1.1774,1.2213,9510000
8/16/2010,1.23,1.2533,1.2174,1.252,7287000
8/17/2010,1.264,1.2933,1.252,1.2767,6718500
8/18/2010,1.306,1.306,1.24,1.2513,9019500
8/19/2010,1.236,1.2833,1.222,1.2527,8686500
8/20/2010,1.2433,1.274,1.234,1.2733,4440000
8/23/2010,1.2727,1.3593,1.2667,1.342,16321500
8/24/2010,1.2833,1.314,1.2633,1.28,10096500
8/25/2010,1.2773,1.332,1.2373,1.3267,7549500
8/26/2010,1.326,1.3513,1.3067,1.3167,6507000
8/27/2010,1.3167,1.3243,1.3,1.3133,5694000
8/30/2010,1.3133,1.346,1.3073,1.3247,10992000
8/31/2010,1.3107,1.3193,1.2887,1.2987,3016500
9/1/2010,1.308,1.3793,1.3067,1.3633,7423500
9/2/2010,1.358,1.416,1.354,1.404,7306500
9/3/2010,1.3913,1.42,1.3773,1.4033,6519000
9/7/2010,1.374,1.4,1.3667,1.3693,3651000
9/8/2010,1.3773,1.3967,1.3733,1.3933,4326000
9/9/2010,1.4,1.4033,1.3793,1.3807,5643000
9/10/2010,1.3833,1.3953,1.3173,1.3447,5799000
9/13/2010,1.3927,1.3933,1.3667,1.3813,5412000
9/14/2010,1.3693,1.44,1.3687,1.408,9820500
9/15/2010,1.3987,1.4667,1.386,1.4653,10269000
9/16/2010,1.4767,1.544,1.3893,1.396,40267500
9/17/2010,1.4013,1.4213,1.32,1.3487,17977500
9/20/2010,1.378,1.4233,1.344,1.4037,14212500
9/21/2010,1.3927,1.4367,1.378,1.3847,11940000
9/22/2010,1.3913,1.3967,1.32,1.3247,14443500
9/23/2010,1.326,1.3427,1.3,1.304,10021500
9/24/2010,1.33,1.346,1.31,1.34,8683500
9/27/2010,1.36,1.3873,1.3367,1.3687,6279000
9/28/2010,1.4027,1.4327,1.384,1.4267,18217500
9/29/2010,1.4127,1.4687,1.4087,1.4653,29539500
9/30/2010,1.4667,1.4767,1.346,1.3603,32937000
10/1/2010,1.3793,1.3833,1.354,1.3733,8965500
10/4/2010,1.362,1.4113,1.3533,1.3993,9654000
10/5/2010,1.41,1.4187,1.4007,1.408,4980000
10/6/2010,1.404,1.4172,1.3547,1.364,4701000
10/7/2010,1.3713,1.376,1.356,1.362,2115000
10/8/2010,1.362,1.386,1.3593,1.362,4017000
10/11/2010,1.3627,1.3799,1.338,1.3493,2568000
10/12/2010,1.3467,1.3522,1.3353,1.3493,3660000
10/13/2010,1.376,1.39,1.3573,1.3693,4773000
10/14/2010,1.4,1.402,1.36,1.3833,4422000
10/15/2010,1.3927,1.3933,1.35,1.3693,4270500
10/18/2010,1.368,1.376,1.348,1.3487,2442000
10/19/2010,1.3467,1.3604,1.3333,1.3367,3678000
10/20/2010,1.344,1.3793,1.336,1.3767,4687500
10/21/2010,1.374,1.3967,1.3633,1.3833,6256500
10/22/2010,1.3787,1.3953,1.37,1.3813,2416500
10/25/2010,1.396,1.3987,1.382,1.39,1777500
10/26/2010,1.3867,1.458,1.3673,1.424,9913500
10/27/2010,1.4167,1.4253,1.3767,1.4,5347500
10/28/2010,1.426,1.4333,1.3973,1.4127,3363000
10/29/2010,1.4093,1.4567,1.4035,1.456,4209000
11/1/2010,1.4627,1.5167,1.4207,1.4273,6837000
11/2/2010,1.4453,1.4586,1.4033,1.4167,4837500
11/3/2010,1.4187,1.5,1.4107,1.4513,5589000
11/4/2010,1.5067,1.6887,1.4767,1.66,28110000
11/5/2010,1.658,1.6647,1.5813,1.6293,15165000
11/8/2010,1.6333,1.6667,1.602,1.6653,7642500
11/9/2010,1.6667,1.7127,1.6033,1.642,14346000
11/10/2010,1.632,1.998,1.6033,1.9573,45907500
11/11/2010,1.9067,1.94,1.822,1.869,29179500
11/12/2010,1.8833,2.0333,1.8713,1.9893,40936500
11/15/2010,2.0147,2.196,2.0147,2.0533,39343500
11/16/2010,2.0667,2.0933,1.8947,1.978,20214000
11/17/2010,2.0133,2.05,1.9073,1.966,11250000
11/18/2010,2.0447,2.0493,1.928,1.9927,14341500
11/19/2010,2.0107,2.0913,1.98,2.066,17257500
11/22/2010,2.1047,2.23,2.1,2.2267,22945500
11/23/2010,2.2193,2.3787,2.146,2.3047,23667000
11/24/2010,2.3513,2.398,2.2889,2.3647,21375000
11/26/2010,2.3733,2.4,2.3167,2.3547,5259000
11/29/2010,2.3608,2.3967,2.222,2.2887,17184000
11/30/2010,2.2493,2.3553,2.2273,2.3553,33339000
12/1/2010,2.3913,2.428,2.23,2.29,19488000
12/2/2010,2.2673,2.2865,2.08,2.1567,30105000
12/3/2010,2.134,2.15,2.058,2.0993,17401500
12/6/2010,2.09,2.0967,1.9707,2.0207,19116000
