date,open,high,low,close,volume
5/9/1996,23.6,24,23.1,23.2,580000
5/10/1996,24,24.2,23.6,24,1060000
5/13/1996,24,24.1,23.3,23.9,700000
5/14/1996,24,24.1,23.1,23.6,310000
5/15/1996,23.6,23.7,23,23.2,545000
5/16/1996,23.1,23.1,22.3,22.6,360000
5/17/1996,22.6,23,22.6,22.8,325000
5/20/1996,22.9,23,22.4,22.5,240000
5/21/1996,22.7,22.8,22.3,22.6,235000
5/22/1996,22.7,22.7,21.8,22,250000
5/23/1996,22,22.2,21.7,22.1,205000
5/24/1996,22.1,22.1,21.4,21.6,155000
5/28/1996,21.9,22.1,21.2,21.2,205000
5/29/1996,21,21.3,20.7,20.8,105000
5/30/1996,20.7,20.8,20,20.5,320000
5/31/1996,20.2,20.4,19.8,20.4,230000
6/3/1996,20.4,20.5,20,20.1,80000
6/4/1996,20.1,21.4,20.1,21.4,115000
6/5/1996,21.4,22,21.3,21.86,165000
6/6/1996,21.86,22,21.7,21.7,90000
6/7/1996,21.5,21.8,21.2,21.6,85000
6/10/1996,21.7,21.9,21.1,21.2,80000
6/11/1996,21.2,21.7,21.2,21.4,65000
6/12/1996,21.6,22,21.4,22,110000
6/13/1996,22,22.2,21.9,22.06,65000
6/14/1996,22.2,22.2,21.7,22,40000
6/17/1996,22,22.06,21.7,21.82,40000
6/18/1996,21.86,21.86,21.5,21.66,45000
6/19/1996,21.6,21.7,21.24,21.3,40000
6/20/1996,21.4,21.46,20.5,20.7,55000
6/21/1996,20.5,20.7,20.48,20.7,70000
6/24/1996,20.66,20.8,20.5,20.6,75000
6/25/1996,20.6,20.7,20.1,20.4,120000
6/26/1996,20.52,20.6,20.3,20.4,60000
6/27/1996,20.3,20.36,20.06,20.2,85000
6/28/1996,20.1,20.66,20.1,20.66,105000
7/1/1996,20.66,21.5,20.6,21.5,135000
7/2/1996,21.66,21.8,21.46,21.7,80000
7/3/1996,21.76,21.76,21.1,21.3,40000
7/5/1996,21,21.1,20.6,20.7,80000
7/8/1996,20.8,21.5,20.6,20.96,80000
7/9/1996,21,21.4,20.66,21.2,170000
7/10/1996,21.3,21.36,20.7,20.98,70000
7/11/1996,21.06,21.06,20.6,20.8,120000
7/12/1996,20.6,21.06,20.6,20.84,90000
7/15/1996,20.8,20.9,20.44,20.66,105000
7/16/1996,20.5,21.1,20.1,20.7,145000
7/17/1996,20.86,21.3,20.64,21.1,130000
7/18/1996,21,21.3,21,21.2,50000
7/19/1996,21.2,21.36,21,21.1,60000
7/22/1996,21,21.1,20.84,20.84,55000
7/23/1996,20.84,21.2,20.4,20.4,55000
7/24/1996,20.1,20.5,20.1,20.5,70000
7/25/1996,20.6,20.72,20.4,20.5,70000
7/26/1996,20.4,20.6,20.4,20.4,30000
7/29/1996,20.4,20.66,20.4,20.5,35000
7/30/1996,20.4,20.9,20.4,20.54,55000
7/31/1996,20.54,20.54,20.4,20.52,25000
8/1/1996,20.5,20.66,20.44,20.54,25000
8/2/1996,20.68,20.96,20.66,20.96,65000
8/5/1996,20.96,21.12,20.8,20.8,60000
8/6/1996,20.8,20.86,20.5,20.8,45000
8/7/1996,20.86,20.88,20.66,20.84,60000
8/8/1996,20.84,20.88,20.7,20.88,50000
8/9/1996,20.72,20.86,20.7,20.8,45000
8/12/1996,20.8,20.86,20.7,20.86,25000
8/13/1996,20.76,20.8,20.64,20.72,50000
8/14/1996,20.68,21.6,20.68,21.6,85000
8/15/1996,21.7,22.2,21.6,22.2,150000
8/16/1996,22.2,22.34,21.76,21.86,90000
8/19/1996,22,22,21.6,21.68,50000
8/20/1996,21.6,21.8,21.36,21.4,55000
8/21/1996,21.42,21.42,21.2,21.2,30000
8/22/1996,21.3,21.48,21.3,21.3,45000
8/23/1996,21.34,21.34,21.24,21.34,30000
8/26/1996,21.34,21.34,21.08,21.14,25000
8/27/1996,21.26,21.34,21.12,21.2,30000
8/28/1996,21.2,21.2,20.9,20.98,40000
8/29/1996,21.02,21.02,20.7,20.7,60000
8/30/1996,20.76,20.88,20.68,20.82,35000
9/3/1996,20.9,20.98,20.72,20.96,15000
9/4/1996,20.96,21.08,20.88,21,25000
9/5/1996,21.06,21.06,20.78,20.9,45000
9/6/1996,20.9,21.12,20.86,21.04,30000
9/9/1996,21.1,21.48,21,21.36,70000
9/10/1996,21.46,21.46,21.1,21.2,55000
9/11/1996,21.24,21.38,21.08,21.32,40000
9/12/1996,21.38,21.44,21.3,21.44,40000
9/13/1996,21.44,21.64,21.36,21.46,55000
9/16/1996,21.5,21.84,21.46,21.84,70000
9/17/1996,21.92,21.92,21.4,21.66,145000
9/18/1996,21.76,21.8,21.56,21.56,105000
9/19/1996,21.46,21.8,21.44,21.66,65000
9/20/1996,21.76,21.8,21.66,21.74,40000
9/23/1996,21.66,21.66,21.44,21.52,30000
9/24/1996,21.46,21.64,21.28,21.56,65000
9/25/1996,21.48,21.6,21.4,21.48,50000
9/26/1996,21.58,21.62,21.4,21.48,45000
9/27/1996,21.48,21.48,21.24,21.36,55000
9/30/1996,21.28,21.6,21.28,21.46,55000
10/1/1996,21.46,21.46,21.16,21.24,70000
10/2/1996,21.2,21.44,21.2,21.42,75000
10/3/1996,21.46,21.46,21.34,21.4,40000
10/4/1996,21.36,21.46,21.32,21.4,70000
10/7/1996,21.44,21.44,21.3,21.3,95000
10/8/1996,21.24,21.34,21.16,21.16,50000
10/9/1996,21.16,21.28,21.1,21.28,130000
10/10/1996,21.32,21.32,21.16,21.22,35000
10/11/1996,21.2,21.4,21.16,21.16,60000
10/14/1996,21.2,21.4,21.16,21.3,70000
10/15/1996,21.2,21.28,21.12,21.2,70000
10/16/1996,21.22,21.46,21.2,21.46,95000
10/17/1996,21.48,21.72,21.36,21.64,90000
10/18/1996,21.74,21.8,21.6,21.68,60000
10/21/1996,21.68,21.68,21.44,21.52,25000
10/22/1996,21.5,21.76,21.5,21.76,80000
