date,open,high,low,close,volume
12/30/1983,2.5221,2.5508,2.4935,2.5221,211500
1/3/1984,2.5187,2.5365,2.5004,2.5221,385502
1/4/1984,2.5703,2.6293,2.5365,2.6293,292500
1/5/1984,2.6832,2.7159,2.6511,2.7159,344102
1/6/1984,2.6872,2.7159,2.6586,2.6872,194400
1/9/1984,2.6941,2.7159,2.6723,2.6941,216302
1/10/1984,2.7337,2.7658,2.701,2.7445,143100
1/11/1984,2.7445,2.8087,2.7159,2.8013,397800
1/12/1984,2.8013,2.8449,2.7875,2.83,297900
1/13/1984,2.8586,2.8804,2.8374,2.8449,591300
1/16/1984,2.83,2.8449,2.8162,2.8162,103802
1/17/1984,2.8162,2.8162,2.7514,2.7658,134100
1/18/1984,2.8053,2.8374,2.7732,2.83,1352700
1/19/1984,2.83,2.8449,2.8162,2.83,245102
1/20/1984,2.83,2.83,2.7944,2.8087,168300
1/23/1984,2.834,2.8517,2.8162,2.8449,246002
1/24/1984,2.8626,2.8804,2.8449,2.8804,292500
1/25/1984,2.9199,2.9377,2.9016,2.9091,243000
1/26/1984,2.9091,2.9165,2.8735,2.8804,212400
1/27/1984,2.8804,2.8804,2.8449,2.8661,183002
1/30/1984,2.8517,2.8586,2.8449,2.8517,99900
1/31/1984,2.8517,2.9377,2.8517,2.8947,352202
2/1/1984,2.8947,2.9234,2.8449,2.8517,225302
2/2/1984,2.8517,2.8586,2.83,2.83,230702
2/3/1984,2.8661,2.8947,2.8374,2.8517,319802
2/6/1984,2.8053,2.8449,2.7658,2.7875,67500
2/7/1984,2.7514,2.7732,2.7296,2.7514,212400
2/8/1984,2.7514,2.8013,2.7296,2.7658,395100
2/9/1984,2.7658,2.7801,2.7371,2.7514,196502
2/10/1984,2.7514,2.7875,2.7514,2.7875,232502
2/13/1984,2.7875,2.8087,2.7801,2.7801,324000
2/14/1984,2.7801,2.8374,2.7732,2.8374,135000
2/15/1984,2.8374,2.8947,2.8231,2.8804,543600
2/16/1984,2.8804,2.9452,2.8661,2.9234,362102
2/17/1984,2.9234,2.9303,2.8735,2.8735,654300
2/21/1984,2.8735,2.8873,2.8449,2.8449,108000
2/22/1984,2.8449,2.8586,2.7658,2.7658,197402
2/23/1984,2.7658,2.7732,2.701,2.7371,466200
2/24/1984,2.7371,2.7658,2.7228,2.7514,66600
2/27/1984,2.7514,2.7875,2.701,2.7875,613202
2/28/1984,2.7623,2.7801,2.7296,2.7514,294300
2/29/1984,2.7514,2.8013,2.7445,2.7658,210002
3/1/1984,2.7371,2.7514,2.7228,2.7371,273600
3/2/1984,2.7371,2.8374,2.7371,2.8087,205502
3/5/1984,2.8087,2.8231,2.7514,2.7658,532800
3/6/1984,2.7658,2.7801,2.7371,2.7371,218102
3/7/1984,2.7371,2.7371,2.6941,2.6941,150602
3/8/1984,2.6941,2.7371,2.6941,2.7371,120902
3/9/1984,2.6798,2.6941,2.6654,2.6654,381902
3/12/1984,2.6654,2.6872,2.5938,2.5938,427500
3/13/1984,2.6259,2.6511,2.6007,2.6437,280202
3/14/1984,2.6116,2.6368,2.5869,2.6081,327902
3/15/1984,2.6081,2.6437,2.5938,2.6368,358502
3/16/1984,2.7228,2.7514,2.6941,2.7159,230702
3/19/1984,2.6763,2.7084,2.6437,2.6723,196200
3/20/1984,2.6941,2.7228,2.6654,2.7228,227700
3/21/1984,2.7228,2.7514,2.7228,2.7514,90302
3/22/1984,2.7514,2.7732,2.7228,2.7228,125402
3/23/1984,2.7228,2.7445,2.701,2.701,51300
3/26/1984,2.701,2.7159,2.6872,2.701,75600
3/27/1984,2.701,2.7084,2.6723,2.6941,527702
3/28/1984,2.6941,2.7084,2.6872,2.6941,97502
3/29/1984,2.6941,2.7084,2.6654,2.6654,125100
3/30/1984,2.6654,2.6654,2.6007,2.6007,207900
4/2/1984,2.6224,2.6437,2.6007,2.6007,253202
4/3/1984,2.6007,2.6293,2.5508,2.5508,105602
4/4/1984,2.5508,2.572,2.5365,2.5365,281700
4/5/1984,2.5365,2.5508,2.4866,2.4866,290102
4/6/1984,2.4866,2.4866,2.4505,2.4579,65700
4/9/1984,2.4579,2.4791,2.4218,2.443,215402
4/10/1984,2.4648,2.4791,2.4505,2.4505,57902
4/11/1984,2.4648,2.4717,2.4579,2.4717,86702
4/12/1984,2.4717,2.572,2.4293,2.572,372902
4/13/1984,2.572,2.5938,2.572,2.572,136202
4/16/1984,2.5365,2.5683,2.515,2.5468,50601
4/17/1984,2.5468,2.601,2.5468,2.5795,137100
4/18/1984,2.5795,2.601,2.5683,2.5683,55800
4/19/1984,2.5683,2.601,2.5683,2.5795,111900
4/23/1984,2.5795,2.5795,2.515,2.5795,73500
4/24/1984,2.5795,2.6439,2.5795,2.6121,186000
4/25/1984,2.6551,2.6869,2.6224,2.6654,184200
4/26/1984,2.6654,2.7084,2.6328,2.6869,203400
4/27/1984,2.6869,2.7411,2.6654,2.7084,206700
4/30/1984,2.7084,2.7299,2.6869,2.7196,88800
5/1/1984,2.7196,2.7617,2.7084,2.7617,225000
5/2/1984,2.8426,2.8589,2.8262,2.8262,138000
5/3/1984,2.8262,2.8589,2.8047,2.8262,111900
5/4/1984,2.8262,2.8262,2.7617,2.7729,102300
5/7/1984,2.7729,2.8159,2.7729,2.7729,47700
5/8/1984,2.8159,2.8374,2.7944,2.8047,331200
5/9/1984,2.8047,2.8047,2.6654,2.6869,290100
5/10/1984,2.6869,2.7196,2.6654,2.6869,282900
5/11/1984,2.6276,2.6654,2.5365,2.558,273000
5/14/1984,2.5313,2.5468,2.515,2.5261,241200
5/15/1984,2.5261,2.5906,2.5261,2.5795,248400
5/16/1984,2.5795,2.5795,2.5468,2.5683,114000
5/17/1984,2.5683,2.5795,2.5261,2.5365,188100
5/18/1984,2.5365,2.5795,2.5365,2.5683,62700
5/21/1984,2.5683,2.5683,2.5261,2.5261,622500
5/22/1984,2.4832,2.5038,2.3645,2.429,105600
5/23/1984,2.429,2.4617,2.3542,2.3542,221100
5/24/1984,2.3972,2.515,2.3645,2.3748,4020000
5/25/1984,2.3748,2.4075,2.3327,2.3645,230100
5/29/1984,2.3645,2.3748,2.2355,2.2785,217500
5/30/1984,2.1495,2.257,2.1281,2.1599,1063200
5/31/1984,2.1599,2.171,2.0206,2.0747,388800
6/1/1984,2.0747,2.0962,2.0206,2.0636,741000
6/4/1984,2.1495,2.2355,2.1066,2.1814,584700
6/5/1984,2.1814,2.2037,2.1281,2.1599,5370300
6/6/1984,2.1599,2.2037,2.1599,2.2037,365700
6/7/1984,2.2037,2.214,2.1814,2.2037,904800
6/8/1984,2.214,2.2355,2.1925,2.2355,708000
6/11/1984,2.1814,2.1814,2.1066,2.1281,198900
6/12/1984,2.1066,2.1066,2.0421,2.1066,691500
6/13/1984,2.1169,2.1392,2.0851,2.0962,424500
6/14/1984,2.0851,2.0851,2.0206,2.0524,614700
6/15/1984,2.0636,2.0962,2.0421,2.0636,358500
6/18/1984,2.0851,2.171,2.0636,2.171,235200
6/19/1984,2.171,2.214,2.1599,2.2037,170700
