date,open,high,low,close,volume
6/1/1972,1.4725,1.4746,1.4578,1.4662,456000
6/2/1972,1.4691,1.4832,1.4691,1.4832,640000
6/5/1972,1.4805,1.4805,1.4578,1.4632,464000
6/6/1972,1.4632,1.4632,1.4492,1.4492,796800
6/7/1972,1.4492,1.4691,1.4465,1.4662,584000
6/8/1972,1.4662,1.4718,1.4465,1.4492,726400
6/9/1972,1.4519,1.4691,1.4519,1.4662,296000
6/12/1972,1.4662,1.4775,1.4549,1.4632,473600
6/13/1972,1.4662,1.4832,1.4662,1.4775,478400
6/14/1972,1.4832,1.5144,1.4832,1.5085,795200
6/15/1972,1.5171,1.5341,1.5171,1.5171,836800
6/16/1972,1.5171,1.5199,1.4945,1.5002,267200
6/19/1972,1.5002,1.5085,1.4718,1.4888,1001600
6/20/1972,1.4945,1.5085,1.4945,1.5085,345600
6/21/1972,1.5085,1.5144,1.4918,1.4945,556800
6/22/1972,1.4945,1.5085,1.4888,1.5058,321600
6/23/1972,1.5058,1.5144,1.5058,1.5115,212800
6/26/1972,1.5115,1.5285,1.4972,1.5285,278400
6/27/1972,1.5285,1.5371,1.5115,1.5199,268800
6/28/1972,1.5144,1.5144,1.4888,1.4945,433600
6/29/1972,1.4945,1.5031,1.4859,1.4859,313600
6/30/1972,1.4888,1.5115,1.4888,1.5058,404800
7/3/1972,1.5058,1.5257,1.5031,1.5228,240000
7/5/1972,1.5341,1.5511,1.5341,1.5398,734400
7/6/1972,1.5597,1.5765,1.5597,1.5681,809600
7/7/1972,1.571,1.605,1.571,1.605,595200
7/10/1972,1.605,1.6077,1.5851,1.5878,316800
7/11/1972,1.5878,1.605,1.5878,1.5937,232000
7/12/1972,1.5964,1.6218,1.5964,1.6077,1132800
7/13/1972,1.6077,1.6247,1.5907,1.6077,790400
7/14/1972,1.6104,1.6417,1.6104,1.636,950400
7/17/1972,1.636,1.636,1.6077,1.6077,187200
7/18/1972,1.5991,1.5991,1.5907,1.5964,385600
7/19/1972,1.5964,1.636,1.5964,1.6134,636800
7/20/1972,1.6134,1.6304,1.6134,1.6304,326400
7/21/1972,1.636,1.6557,1.636,1.6557,340800
7/24/1972,1.6557,1.7039,1.653,1.6842,811200
7/25/1972,1.6842,1.701,1.67,1.67,312000
7/26/1972,1.6983,1.7182,1.6983,1.7123,816000
7/27/1972,1.7123,1.7236,1.6983,1.7123,422400
7/28/1972,1.7123,1.7153,1.7096,1.7096,208000
7/31/1972,1.7039,1.7039,1.687,1.6897,174400
8/1/1972,1.6897,1.7096,1.687,1.7096,368000
8/2/1972,1.7096,1.7153,1.6983,1.7039,384000
8/3/1972,1.7039,1.7096,1.687,1.7096,355200
8/4/1972,1.7096,1.7096,1.6983,1.6983,193600
8/7/1972,1.6983,1.7096,1.6983,1.6983,204800
8/8/1972,1.6983,1.7096,1.6926,1.7039,243200
8/9/1972,1.7039,1.7039,1.6956,1.6983,126400
8/10/1972,1.701,1.7096,1.701,1.7069,184000
8/11/1972,1.7069,1.7096,1.701,1.7096,180800
8/14/1972,1.7153,1.7492,1.7153,1.7409,308800
8/15/1972,1.7409,1.7409,1.6956,1.7153,420800
8/16/1972,1.7096,1.7096,1.6813,1.6897,268800
8/17/1972,1.6897,1.6956,1.6756,1.6842,348800
8/18/1972,1.6897,1.7209,1.6897,1.7123,185600
8/21/1972,1.7266,1.7635,1.7266,1.7492,316800
8/22/1972,1.7492,1.7662,1.7436,1.7576,580800
8/23/1972,1.7549,1.7549,1.7409,1.7436,353600
8/24/1972,1.7436,1.7549,1.7236,1.7236,179200
8/25/1972,1.7153,1.7153,1.6897,1.6897,371200
8/28/1972,1.6897,1.7096,1.6842,1.6842,177600
8/29/1972,1.6842,1.6983,1.6784,1.6983,238400
8/30/1972,1.6983,1.6983,1.6897,1.6926,177600
8/31/1972,1.6926,1.6926,1.687,1.6926,137600
9/1/1972,1.6956,1.6983,1.6956,1.6983,163200
9/5/1972,1.6983,1.6983,1.687,1.687,124800
9/6/1972,1.687,1.6897,1.6784,1.6784,228800
9/7/1972,1.6784,1.687,1.6784,1.6813,356800
9/8/1972,1.6813,1.687,1.6587,1.6643,160000
9/11/1972,1.6643,1.6729,1.639,1.639,104000
9/12/1972,1.639,1.639,1.5907,1.6134,291200
9/13/1972,1.6134,1.6276,1.6021,1.6021,499200
9/14/1972,1.6077,1.6473,1.6077,1.6417,331200
9/15/1972,1.6417,1.6473,1.6247,1.6331,102400
9/18/1972,1.6331,1.639,1.6276,1.6276,273600
9/19/1972,1.636,1.6643,1.636,1.6503,288000
9/20/1972,1.6503,1.6643,1.6473,1.6503,260800
9/21/1972,1.6503,1.6616,1.6331,1.6331,132800
9/22/1972,1.6331,1.6417,1.6304,1.6304,51200
9/25/1972,1.6304,1.636,1.6218,1.6247,198400
9/26/1972,1.6247,1.6417,1.619,1.619,369600
9/27/1972,1.6218,1.6304,1.6218,1.6218,129600
9/28/1972,1.6218,1.639,1.619,1.6276,299200
9/29/1972,1.636,1.6503,1.636,1.636,516800
10/2/1972,1.636,1.6417,1.6134,1.6134,120000
10/3/1972,1.6134,1.619,1.6077,1.619,172800
10/4/1972,1.619,1.6247,1.6077,1.6077,428800
10/5/1972,1.6077,1.6104,1.5794,1.5794,356800
10/6/1972,1.5794,1.6077,1.5681,1.5824,560000
10/9/1972,1.5907,1.5991,1.5907,1.5991,35200
10/10/1972,1.5991,1.605,1.5907,1.6021,140800
10/11/1972,1.6021,1.6021,1.5878,1.5907,172800
10/12/1972,1.5907,1.6021,1.5737,1.5937,408000
10/13/1972,1.5937,1.5937,1.5737,1.5851,337600
10/16/1972,1.5851,1.5851,1.5737,1.5737,185600
10/17/1972,1.5737,1.5907,1.571,1.5907,174400
10/18/1972,1.6077,1.6304,1.6077,1.6304,492800
10/19/1972,1.6304,1.6643,1.6304,1.6643,193600
10/20/1972,1.6643,1.6842,1.653,1.6842,195200
10/23/1972,1.6842,1.7096,1.6842,1.6842,252800
10/24/1972,1.687,1.7522,1.687,1.7379,414400
10/25/1972,1.7379,1.7522,1.7295,1.7436,540800
10/26/1972,1.7522,1.7945,1.7522,1.7832,608000
10/27/1972,1.7748,1.7748,1.7492,1.7522,204800
10/30/1972,1.7522,1.7576,1.7463,1.7576,123200
10/31/1972,1.7606,1.8002,1.7606,1.7889,449600
11/1/1972,1.7889,1.8115,1.7832,1.7945,897600
11/2/1972,1.7945,1.8002,1.7775,1.7945,232000
11/3/1972,1.7916,1.7916,1.7832,1.7832,220800
11/6/1972,1.7832,1.7861,1.7775,1.7861,369600
11/8/1972,1.7861,1.7945,1.7606,1.7662,358400
11/9/1972,1.7662,1.7689,1.7323,1.7549,134400
11/10/1972,1.7492,1.7492,1.7323,1.7323,222400
11/13/1972,1.7266,1.7266,1.7096,1.7153,236800
11/14/1972,1.7266,1.7436,1.7266,1.7436,251200
11/15/1972,1.7492,1.7635,1.7492,1.7635,265600
11/16/1972,1.7635,1.7775,1.7549,1.7635,219200
11/17/1972,1.7635,1.7635,1.7492,1.7492,92800
11/20/1972,1.7323,1.7323,1.7153,1.7295,201600
11/21/1972,1.7295,1.7295,1.7039,1.7266,769600
11/22/1972,1.7266,1.7409,1.7209,1.7236,164800
11/24/1972,1.7295,1.7436,1.7295,1.7379,158400
11/27/1972,1.735,1.735,1.7209,1.7295,139200
11/28/1972,1.7266,1.7266,1.6983,1.7069,182400
11/29/1972,1.7069,1.7153,1.6983,1.7123,452800
11/30/1972,1.7123,1.7236,1.7123,1.7182,244800
12/1/1972,1.7182,1.7236,1.7096,1.7153,180800
12/4/1972,1.7209,1.7379,1.7209,1.7209,252800
12/5/1972,1.7209,1.7236,1.7096,1.7123,350400
12/6/1972,1.7123,1.7236,1.6956,1.7236,500800
12/7/1972,1.7236,1.7323,1.7153,1.7182,230400
12/8/1972,1.7182,1.7266,1.7123,1.7266,198400
12/11/1972,1.7266,1.7323,1.7123,1.7266,264000
12/12/1972,1.7266,1.7379,1.7236,1.7266,211200
12/13/1972,1.7323,1.7549,1.7323,1.7492,246400
