date,open,high,low,close,volume
3/26/1990,0.2344,0.2344,0.2315,0.2315,412800
3/27/1990,0.2315,0.2435,0.2315,0.2435,3913600
3/28/1990,0.2435,0.2435,0.2374,0.2374,1561600
3/29/1990,0.2435,0.2435,0.2406,0.2406,537600
3/30/1990,0.2435,0.2435,0.2374,0.2406,1756800
4/2/1990,0.2374,0.2435,0.2315,0.2435,2451200
4/3/1990,0.2468,0.2529,0.2406,0.2468,2812800
4/4/1990,0.25,0.2529,0.2435,0.2468,4003200
4/5/1990,0.25,0.2561,0.25,0.2529,3961600
4/6/1990,0.2561,0.2591,0.2529,0.2561,1273600
4/9/1990,0.2561,0.2591,0.25,0.25,2873600
4/10/1990,0.25,0.2529,0.2435,0.2435,2118400
4/11/1990,0.25,0.2529,0.2468,0.25,3440000
4/12/1990,0.2529,0.2591,0.25,0.2591,3254400
4/16/1990,0.2591,0.262,0.2529,0.2561,4595200
4/17/1990,0.2561,0.262,0.2561,0.2561,7257600
4/18/1990,0.2561,0.2591,0.2529,0.2529,2291200
4/19/1990,0.2529,0.2529,0.25,0.2529,896000
4/20/1990,0.25,0.2529,0.2468,0.25,1168000
4/23/1990,0.2435,0.2468,0.2406,0.2468,998400
4/24/1990,0.2468,0.25,0.2435,0.2435,700800
4/25/1990,0.2468,0.25,0.2468,0.25,758400
4/26/1990,0.25,0.2561,0.25,0.2529,1228800
4/27/1990,0.25,0.2529,0.2468,0.2468,1888000
4/30/1990,0.2561,0.2714,0.2529,0.2653,12281600
5/1/1990,0.2682,0.2808,0.2682,0.2776,11120000
5/2/1990,0.2776,0.2899,0.2746,0.2899,3782400
5/3/1990,0.2929,0.2929,0.2838,0.2838,5475200
5/4/1990,0.2899,0.3023,0.2899,0.2961,11257600
5/7/1990,0.3055,0.3176,0.3023,0.3146,37350400
5/8/1990,0.3176,0.3269,0.3114,0.324,15411200
5/9/1990,0.3208,0.3269,0.3114,0.3176,12224000
5/10/1990,0.3176,0.3208,0.3146,0.3146,11753600
5/11/1990,0.3176,0.324,0.3176,0.3176,10361600
5/14/1990,0.3176,0.324,0.3176,0.324,5904000
5/15/1990,0.324,0.324,0.3176,0.324,7558400
5/16/1990,0.324,0.3393,0.3208,0.3302,9673600
5/17/1990,0.3361,0.3361,0.3302,0.3331,12099200
5/18/1990,0.3302,0.3361,0.3302,0.3302,11516800
5/21/1990,0.3302,0.3393,0.3302,0.3393,8473600
5/22/1990,0.3455,0.3548,0.3422,0.3548,29398400
5/23/1990,0.3548,0.3607,0.3487,0.3607,21696000
5/24/1990,0.3578,0.3701,0.3578,0.3669,11273600
5/25/1990,0.364,0.3669,0.3607,0.3607,13379200
5/29/1990,0.3578,0.3669,0.3548,0.3669,8790400
5/30/1990,0.364,0.3733,0.364,0.3701,11872000
5/31/1990,0.3669,0.3825,0.3669,0.3733,10528000
6/1/1990,0.3763,0.3795,0.3701,0.3701,14604800
6/4/1990,0.3763,0.3795,0.3701,0.3763,8803200
6/5/1990,0.3825,0.3916,0.3763,0.3916,17158400
6/6/1990,0.3916,0.3916,0.3795,0.3795,12720000
6/7/1990,0.3795,0.3854,0.364,0.3669,9024000
6/8/1990,0.364,0.3669,0.3487,0.3487,11971200
6/11/1990,0.3487,0.3548,0.3455,0.3487,4179200
6/12/1990,0.3548,0.364,0.3455,0.364,4617600
6/13/1990,0.364,0.3886,0.364,0.3825,11865600
6/14/1990,0.3854,0.3854,0.3733,0.3795,3059200
6/15/1990,0.3733,0.3795,0.3701,0.3763,3216000
6/18/1990,0.3701,0.3763,0.3669,0.3669,3872000
6/19/1990,0.3701,0.3825,0.364,0.3825,4499200
6/20/1990,0.3825,0.3948,0.3825,0.3886,12121600
6/21/1990,0.3916,0.3916,0.3763,0.3916,12384000
6/22/1990,0.3948,0.4163,0.3916,0.4042,22441600
6/25/1990,0.4071,0.4256,0.401,0.4195,18537600
6/26/1990,0.4227,0.4227,0.4042,0.4101,11984000
6/27/1990,0.4071,0.4101,0.3886,0.401,4652800
6/28/1990,0.398,0.4133,0.398,0.4133,6742400
6/29/1990,0.4195,0.4256,0.4163,0.4256,2352000
7/2/1990,0.4195,0.4289,0.4133,0.4227,3568000
7/3/1990,0.4256,0.4318,0.4195,0.4318,3494400
7/5/1990,0.4318,0.438,0.4227,0.4318,3728000
7/6/1990,0.4348,0.4348,0.4289,0.4318,1948800
7/9/1990,0.4348,0.4348,0.4195,0.4227,1372800
7/10/1990,0.4227,0.4289,0.4071,0.4101,3488000
7/11/1990,0.4071,0.4318,0.401,0.4318,7532800
7/12/1990,0.4348,0.472,0.4289,0.4656,10278400
7/13/1990,0.472,0.4967,0.472,0.475,15769600
7/16/1990,0.4782,0.4812,0.475,0.4782,5536000
7/17/1990,0.4782,0.4812,0.4594,0.4627,3900800
7/18/1990,0.4594,0.4656,0.4474,0.4503,3363200
7/19/1990,0.4442,0.4442,0.4163,0.4256,9750400
7/20/1990,0.4289,0.4409,0.4256,0.4318,7068800
7/23/1990,0.4227,0.4256,0.401,0.4163,5977600
7/24/1990,0.4163,0.4535,0.4133,0.4535,12300800
7/25/1990,0.4594,0.472,0.4565,0.4656,11206400
7/26/1990,0.4688,0.4688,0.4594,0.4656,1513600
7/27/1990,0.4656,0.4656,0.4565,0.4565,4284800
7/30/1990,0.4565,0.472,0.4565,0.4656,2748800
7/31/1990,0.4688,0.475,0.4688,0.4688,7145600
8/1/1990,0.472,0.472,0.4474,0.4535,4547200
8/2/1990,0.4474,0.4474,0.4318,0.438,3625600
8/3/1990,0.4318,0.4318,0.364,0.4042,16796800
8/6/1990,0.401,0.401,0.3795,0.3948,6483200
8/7/1990,0.4318,0.4318,0.401,0.4289,15225600
8/8/1990,0.4318,0.4348,0.401,0.4101,35004800
8/9/1990,0.4133,0.438,0.4101,0.438,6044800
8/10/1990,0.4318,0.438,0.4256,0.4318,2441600
8/13/1990,0.4289,0.4594,0.4289,0.4565,5820800
8/14/1990,0.4565,0.4594,0.4318,0.4318,5923200
8/15/1990,0.4409,0.4474,0.4348,0.438,3062400
8/16/1990,0.4318,0.4409,0.4318,0.4348,4448000
8/17/1990,0.4289,0.438,0.4289,0.438,3884800
8/20/1990,0.4318,0.4348,0.398,0.4163,7104000
8/21/1990,0.4101,0.4133,0.3886,0.398,5289600
8/22/1990,0.4133,0.4133,0.3948,0.401,5302400
8/23/1990,0.3886,0.3886,0.364,0.3701,12377600
8/24/1990,0.3733,0.401,0.364,0.3948,10800000
8/27/1990,0.4079,0.4234,0.4079,0.4234,9705600
8/28/1990,0.4202,0.4326,0.4079,0.4296,10284800
8/29/1990,0.4296,0.4296,0.417,0.4234,1324800
8/30/1990,0.4234,0.4296,0.414,0.4202,2374400
8/31/1990,0.4234,0.4234,0.414,0.4234,3004800
9/4/1990,0.417,0.4296,0.417,0.4234,6467200
9/5/1990,0.4326,0.4417,0.4234,0.4355,7731200
9/6/1990,0.4326,0.4387,0.4079,0.4079,5926400
9/7/1990,0.4108,0.4264,0.4017,0.417,5088000
