date,open,high,low,close,volume
3/13/1986,0.0548,0.0628,0.0548,0.0602,1031788800
3/14/1986,0.0602,0.0634,0.0602,0.0623,308160000
3/17/1986,0.0623,0.0639,0.0623,0.0634,133171200
3/18/1986,0.0634,0.0639,0.0612,0.0618,67766400
3/19/1986,0.0618,0.0623,0.0602,0.0607,47894400
3/20/1986,0.0607,0.0607,0.0585,0.0591,58435200
3/21/1986,0.0591,0.0602,0.0564,0.0575,59990400
3/24/1986,0.0575,0.0575,0.0553,0.0559,65289600
3/25/1986,0.0559,0.0569,0.0553,0.0569,32083200
3/26/1986,0.0569,0.0591,0.0564,0.0585,22752000
3/27/1986,0.0585,0.0596,0.0585,0.0596,16848000
3/31/1986,0.0596,0.0596,0.058,0.0591,12873600
4/1/1986,0.0591,0.0591,0.0585,0.0585,11088000
4/2/1986,0.0585,0.0602,0.0585,0.0591,27014400
4/3/1986,0.0596,0.0612,0.0596,0.0596,23040000
4/4/1986,0.0596,0.0602,0.0596,0.0596,26582400
4/7/1986,0.0596,0.0602,0.0575,0.0585,16560000
4/8/1986,0.0585,0.0602,0.0585,0.0591,10252800
4/9/1986,0.0591,0.0607,0.0591,0.0602,12153600
4/10/1986,0.0602,0.0612,0.0591,0.0607,13881600
4/11/1986,0.0612,0.0628,0.0612,0.0618,17222400
4/14/1986,0.0618,0.0628,0.0618,0.0623,12153600
4/15/1986,0.0623,0.0623,0.0602,0.0623,9302400
4/16/1986,0.0623,0.065,0.0618,0.0645,31910400
4/17/1986,0.0645,0.065,0.0645,0.065,22003200
4/18/1986,0.065,0.065,0.0623,0.0628,21628800
4/21/1986,0.0628,0.0634,0.0612,0.0628,22924800
4/22/1986,0.0628,0.0628,0.0618,0.0618,15552000
4/23/1986,0.0618,0.0623,0.0612,0.062,15609600
4/24/1986,0.062,0.0693,0.0618,0.0682,62352000
4/25/1986,0.0688,0.0755,0.0688,0.0725,85795200
4/28/1986,0.0725,0.0736,0.072,0.0731,28886400
4/29/1986,0.0731,0.0731,0.0704,0.0709,30326400
4/30/1986,0.0709,0.0714,0.0677,0.0693,30902400
5/1/1986,0.0693,0.0693,0.0671,0.0682,54345600
5/2/1986,0.0682,0.0693,0.0677,0.0682,20246400
5/5/1986,0.0682,0.0682,0.0677,0.0677,3254400
5/6/1986,0.0682,0.0693,0.0682,0.0682,9734400
5/7/1986,0.0682,0.0688,0.0671,0.0682,5155200
5/8/1986,0.0682,0.0688,0.0677,0.0688,3542400
5/9/1986,0.0688,0.0688,0.0682,0.0682,6076800
5/12/1986,0.0682,0.0704,0.0682,0.0688,10483200
5/13/1986,0.0688,0.0698,0.0688,0.0693,3830400
5/14/1986,0.0693,0.0693,0.0688,0.0688,9302400
5/15/1986,0.0688,0.0698,0.0688,0.0688,3801600
5/16/1986,0.0688,0.0709,0.0688,0.0693,11952000
5/19/1986,0.0693,0.0693,0.0677,0.0682,11001600
5/20/1986,0.0682,0.0682,0.0671,0.0677,61977600
5/21/1986,0.0677,0.0682,0.0666,0.0666,8092800
5/22/1986,0.0666,0.0671,0.0666,0.0666,4406400
5/23/1986,0.0666,0.0677,0.0666,0.0666,4089600
5/27/1986,0.0666,0.0688,0.0666,0.0688,13881600
5/28/1986,0.0688,0.0709,0.0688,0.0709,15523200
5/29/1986,0.0709,0.0736,0.0704,0.0725,45676800
5/30/1986,0.0731,0.0763,0.0731,0.0752,27072000
6/2/1986,0.0752,0.0752,0.0731,0.0731,19728000
6/3/1986,0.0731,0.0731,0.072,0.0731,5011200
6/4/1986,0.0731,0.0736,0.072,0.0725,4723200
6/5/1986,0.0725,0.0736,0.072,0.0736,13708800
6/6/1986,0.0736,0.0736,0.0725,0.0736,3427200
6/9/1986,0.0736,0.0736,0.0704,0.0704,12672000
6/10/1986,0.0704,0.0704,0.0693,0.0704,3427200
6/11/1986,0.0704,0.0704,0.0693,0.0704,2304000
6/12/1986,0.0704,0.0704,0.0671,0.0677,13708800
6/13/1986,0.0677,0.0682,0.0671,0.0677,7891200
6/16/1986,0.0677,0.0682,0.0666,0.0671,9590400
6/17/1986,0.0677,0.0693,0.0677,0.0682,13075200
6/18/1986,0.0682,0.0682,0.0666,0.0677,4348800
6/19/1986,0.0677,0.0682,0.0666,0.0671,8467200
6/20/1986,0.0671,0.0677,0.0671,0.0674,3801600
6/23/1986,0.0674,0.0682,0.0661,0.0682,46195200
6/24/1986,0.0682,0.0688,0.0671,0.0677,14572800
6/25/1986,0.0677,0.0682,0.0666,0.0666,15235200
6/26/1986,0.0666,0.0671,0.0645,0.0645,19152000
6/27/1986,0.0645,0.065,0.0634,0.0639,10396800
6/30/1986,0.0639,0.0677,0.0634,0.0661,62352000
7/1/1986,0.0661,0.0661,0.0655,0.0661,47577600
7/2/1986,0.0661,0.0661,0.0655,0.0661,52617600
7/3/1986,0.0666,0.0677,0.0666,0.0671,14140800
7/7/1986,0.0671,0.0671,0.0645,0.0645,14054400
7/8/1986,0.0645,0.0645,0.0623,0.0628,14256000
7/9/1986,0.0628,0.0628,0.0596,0.0602,46137600
7/10/1986,0.0602,0.0607,0.0559,0.0585,46886400
7/11/1986,0.0585,0.0612,0.0585,0.0602,17395200
7/14/1986,0.0585,0.0607,0.0585,0.0593,28598400
7/15/1986,0.0593,0.0612,0.0585,0.0602,13190400
7/16/1986,0.0607,0.0623,0.0607,0.0623,9360000
7/17/1986,0.0623,0.0634,0.0618,0.0634,6940800
7/18/1986,0.0634,0.0645,0.0618,0.0639,12326400
7/21/1986,0.0639,0.065,0.0639,0.0639,3513600
7/22/1986,0.0639,0.0661,0.0639,0.0661,10512000
7/23/1986,0.0661,0.0671,0.0645,0.0645,20793600
7/24/1986,0.0655,0.0677,0.0655,0.0666,14140800
7/25/1986,0.0666,0.0677,0.0666,0.0671,20448000
7/28/1986,0.0671,0.0671,0.0655,0.0655,11808000
7/29/1986,0.0655,0.0661,0.0628,0.0639,14054400
7/30/1986,0.0639,0.0639,0.0596,0.0618,26409600
7/31/1986,0.0618,0.0623,0.0612,0.0612,15638400
8/1/1986,0.0612,0.0618,0.0602,0.0607,12902400
8/4/1986,0.0607,0.0607,0.0591,0.0607,12441600
8/5/1986,0.0607,0.0612,0.0602,0.0602,2822400
8/6/1986,0.0602,0.0607,0.0585,0.0596,18316800
8/7/1986,0.0596,0.0602,0.0585,0.0591,3657600
8/8/1986,0.0591,0.0607,0.0591,0.0596,4147200
8/11/1986,0.0607,0.0623,0.0607,0.0618,7948800
8/12/1986,0.0618,0.0634,0.0618,0.0634,9993600
8/13/1986,0.0634,0.0639,0.0628,0.0639,6883200
8/14/1986,0.0639,0.0661,0.0639,0.0655,20131200
8/15/1986,0.0655,0.0661,0.065,0.0658,6105600
8/18/1986,0.0658,0.0661,0.065,0.065,12787200
8/19/1986,0.065,0.0653,0.0639,0.065,20390400
8/20/1986,0.065,0.065,0.0645,0.0645,20764800
8/21/1986,0.0645,0.0655,0.0645,0.0645,49536000
8/22/1986,0.0645,0.065,0.0623,0.0634,5760000
8/25/1986,0.0634,0.0634,0.0623,0.0634,2419200
8/26/1986,0.0634,0.0634,0.0628,0.0628,10857600
8/27/1986,0.0628,0.0634,0.0623,0.0628,9532800
8/28/1986,0.0628,0.0634,0.0628,0.0628,3427200
8/29/1986,0.0628,0.0634,0.0602,0.0612,25430400
9/2/1986,0.0612,0.0612,0.0588,0.0596,5212800
9/3/1986,0.0591,0.0591,0.0564,0.058,18316800
9/4/1986,0.0591,0.0628,0.0591,0.0628,39427200
9/5/1986,0.0628,0.0655,0.0623,0.0655,26352000
9/8/1986,0.0655,0.0661,0.065,0.065,9619200
9/9/1986,0.065,0.0677,0.065,0.0661,37526400
9/10/1986,0.0661,0.0666,0.065,0.065,10886400
9/11/1986,0.065,0.0655,0.0623,0.0623,35654400
9/12/1986,0.0623,0.0628,0.0607,0.0607,24451200
9/15/1986,0.0607,0.0618,0.0596,0.0618,22492800
9/16/1986,0.0618,0.0623,0.0607,0.0618,5184000
9/17/1986,0.0618,0.0645,0.0612,0.0634,8035200
9/18/1986,0.0634,0.065,0.0634,0.0639,5356800
9/19/1986,0.0639,0.0645,0.0634,0.0639,2505600
9/22/1986,0.0639,0.0639,0.0634,0.0634,4492800
9/23/1986,0.0634,0.065,0.0634,0.0645,5961600
9/24/1986,0.0645,0.0645,0.0634,0.0636,4780800
9/25/1986,0.0636,0.0639,0.0623,0.0623,5155200
9/26/1986,0.0623,0.0628,0.0618,0.0623,2332800
9/29/1986,0.0623,0.0623,0.0607,0.0607,6192000
9/30/1986,0.0607,0.0618,0.0607,0.0607,5184000
10/1/1986,0.0607,0.0618,0.0591,0.0602,32428800
10/2/1986,0.0602,0.0612,0.0596,0.0602,22723200
10/3/1986,0.0602,0.0612,0.0602,0.0607,14716800
10/6/1986,0.0623,0.0666,0.0623,0.0655,85334400
10/7/1986,0.0655,0.0682,0.0655,0.0669,59788800
10/8/1986,0.0669,0.0696,0.0661,0.0688,119606400
10/9/1986,0.0688,0.0725,0.0688,0.0709,92563200
10/10/1986,0.0709,0.0757,0.0698,0.0741,76752000
10/13/1986,0.0741,0.0741,0.0709,0.0709,27129600
10/14/1986,0.0714,0.0725,0.0714,0.072,12873600
10/15/1986,0.072,0.0757,0.072,0.0752,63532800
10/16/1986,0.0752,0.0757,0.0747,0.0752,21859200
10/17/1986,0.0752,0.0779,0.0752,0.0773,124444800
10/20/1986,0.0773,0.079,0.0757,0.0779,43545600
10/21/1986,0.0784,0.0811,0.0784,0.0811,112377600
10/22/1986,0.0811,0.0819,0.0806,0.0811,54576000
10/23/1986,0.0811,0.0816,0.0803,0.0811,70444800
10/24/1986,0.0811,0.0811,0.0784,0.0806,101376000
10/27/1986,0.0811,0.0833,0.0811,0.0833,125654400
10/28/1986,0.0833,0.0865,0.0833,0.0851,142646400
10/29/1986,0.0851,0.0854,0.0816,0.0827,53222400
10/30/1986,0.0827,0.0854,0.0822,0.0843,44380800
10/31/1986,0.0843,0.0854,0.0827,0.0833,63734400
11/3/1986,0.0838,0.0854,0.0838,0.0849,42192000
11/4/1986,0.0849,0.0881,0.0849,0.0881,54403200
11/5/1986,0.0881,0.094,0.0876,0.0935,45100800
11/6/1986,0.0935,0.0978,0.0929,0.0956,72576000
11/7/1986,0.0956,0.0961,0.0935,0.0951,44323200
11/10/1986,0.0951,0.0951,0.0908,0.0913,28684800
11/11/1986,0.0919,0.0929,0.0919,0.0919,11894400
11/12/1986,0.0919,0.094,0.0908,0.0919,34156800
11/13/1986,0.0919,0.0924,0.0902,0.0905,30211200
11/14/1986,0.0905,0.0913,0.0886,0.0913,18720000
11/17/1986,0.0913,0.0929,0.0902,0.0919,24307200
11/18/1986,0.0919,0.0924,0.087,0.087,59673600
11/19/1986,0.087,0.0908,0.087,0.0902,48729600
11/20/1986,0.0902,0.0972,0.0902,0.0972,98179200
11/21/1986,0.0978,0.1015,0.0978,0.1004,91065600
11/24/1986,0.1004,0.109,0.0972,0.1085,173836800
11/25/1986,0.1085,0.1101,0.108,0.1096,95788800
11/26/1986,0.1096,0.1101,0.1085,0.1085,38793600
11/28/1986,0.1085,0.109,0.1058,0.1069,41328000
12/1/1986,0.1069,0.1074,0.1042,0.1047,40291200
12/2/1986,0.1053,0.1074,0.1053,0.1053,28771200
12/3/1986,0.1053,0.1064,0.1042,0.1045,35164800
12/4/1986,0.1045,0.1069,0.1037,0.1058,42508800
12/5/1986,0.1058,0.1064,0.1053,0.1053,107510400
12/8/1986,0.1053,0.1064,0.1026,0.1042,22665600
12/9/1986,0.1042,0.1047,0.1031,0.1037,16099200
12/10/1986,0.1037,0.1047,0.1026,0.1045,27590400
12/11/1986,0.1045,0.1058,0.1042,0.1053,11635200
12/12/1986,0.1053,0.1053,0.1015,0.1015,25286400
12/15/1986,0.1015,0.1021,0.0972,0.0988,50774400
12/16/1986,0.0994,0.1015,0.0994,0.0999,77299200
12/17/1986,0.0999,0.1015,0.0999,0.101,23356800
12/18/1986,0.101,0.1021,0.1004,0.1018,12672000
12/19/1986,0.1021,0.1053,0.1021,0.1042,56592000
12/22/1986,0.1042,0.1064,0.1042,0.1053,18316800
12/23/1986,0.1053,0.1064,0.1053,0.1064,23788800
12/24/1986,0.1064,0.1064,0.1058,0.1061,7027200
12/26/1986,0.1061,0.1069,0.1058,0.1058,3715200
12/29/1986,0.1058,0.1069,0.1015,0.1015,41702400
12/30/1986,0.1015,0.1031,0.1004,0.1026,25401600
12/31/1986,0.1026,0.1053,0.1026,0.1037,23356800
1/2/1987,0.1037,0.1047,0.1021,0.1026,12643200
1/5/1987,0.1026,0.1096,0.1021,0.1085,48499200
